0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, weight
165.7, 245.8, 239.14, 161.89, 248.37, 253.5, 143.75, 222.93, 102.11, 98.32, 83.95, 145.08, 200.82, 147.26, 213.75, 163.4, 126.39, 108.8, 102.53, 105.86, 139.81, 134.0, 235.3, 189.77, 205.31, 231.23, 212.45, 165.44, 172.84, 142.69, 205.97, 166.08, 180.34, 185.1, 179.15, 187.86, 163.15, 117.72, 141.91, 229.22, 240.52, 227.15, 232.16, 266.8, 314.15, 193.11, 253.48, 245.98, 0.0
179.71, 262.65, 213.78, 155.19, 245.21, 258.2, 184.26, 192.37, 111.85, 116.69, 82.58, 111.93, 260.27, 153.21, 175.49, 225.66, 144.78, 115.1, 102.5, 104.55, 169.15, 129.71, 171.9, 172.53, 169.82, 187.0, 161.29, 147.13, 156.34, 106.46, 150.06, 125.82, 154.17, 159.91, 136.32, 135.07, 161.35, 92.48, 110.32, 155.05, 251.37, 239.61, 236.84, 270.76, 303.12, 198.98, 211.13, 247.75, 0.0
162.67, 232.83, 262.86, 143.32, 249.89, 144.99, 201.28, 140.15, 147.93, 120.85, 122.03, 113.15, 241.01, 187.88, 173.89, 196.09, 205.64, 150.77, 161.07, 122.6, 160.67, 159.63, 206.07, 191.88, 187.99, 205.61, 167.17, 152.97, 195.36, 113.81, 115.51, 115.17, 138.73, 108.87, 185.24, 117.78, 177.07, 113.29, 146.16, 184.49, 260.88, 169.64, 183.06, 124.17, 123.63, 144.14, 288.52, 212.15, 0.0
184.2, 296.88, 224.54, 165.32, 284.85, 251.78, 193.89, 110.85, 125.4, 137.14, 96.47, 93.15, 273.41, 171.94, 194.02, 197.71, 141.24, 160.83, 134.45, 96.41, 151.77, 138.03, 173.29, 172.62, 151.02, 160.76, 132.17, 134.82, 148.54, 99.16, 120.89, 103.88, 122.38, 73.54, 137.06, 168.78, 135.12, 126.8, 131.62, 110.73, 193.23, 97.73, 70.25, 167.23, 254.92, 190.77, 190.67, 147.97, 0.0
109.09, 130.31, 244.36, 139.04, 193.07, 239.28, 175.65, 159.97, 102.81, 124.52, 92.04, 77.58, 130.66, 138.98, 244.4, 170.91, 144.06, 141.0, 121.81, 88.72, 166.28, 166.78, 156.94, 154.52, 128.66, 133.41, 126.89, 140.42, 102.01, 73.5, 122.47, 72.83, 121.5, 65.67, 73.73, 105.43, 123.43, 91.8, 89.62, 81.84, 215.8, 79.42, 45.28, 82.36, 128.86, 42.3, 65.01, 104.34, 0.0
179.32, 294.26, 274.35, 158.42, 244.33, 276.73, 187.41, 122.42, 158.19, 131.27, 81.41, 91.44, 157.71, 141.72, 195.94, 239.94, 179.48, 190.18, 122.39, 84.28, 158.58, 156.56, 227.12, 229.65, 127.95, 206.69, 219.37, 173.69, 139.14, 87.29, 85.48, 77.81, 119.77, 119.14, 151.17, 90.36, 108.54, 60.13, 76.39, 102.05, 189.23, 65.37, 171.95, 134.72, 69.18, 35.73, 213.01, 122.0, 0.0
67.26, 143.95, 246.61, 190.54, 326.71, 268.43, 51.11, 145.59, 131.47, 121.27, 106.36, 72.7, 233.56, 151.33, 202.55, 193.76, 167.09, 181.03, 138.19, 85.27, 149.05, 152.52, 205.81, 163.02, 118.17, 108.81, 82.57, 117.09, 86.73, 73.94, 86.48, 84.61, 128.66, 90.71, 78.82, 118.28, 89.43, 69.8, 102.89, 115.19, 145.61, 69.23, 67.54, 110.08, 72.75, 48.63, 193.49, 179.66, 0.0
174.41, 267.75, 124.4, 124.19, 178.7, 189.16, 141.1, 95.94, 123.2, 105.8, 86.59, 71.51, 127.84, 136.01, 148.63, 198.05, 158.69, 168.71, 129.58, 104.39, 193.56, 161.72, 121.79, 236.58, 149.52, 110.64, 105.57, 116.26, 71.49, 57.04, 117.93, 63.59, 154.42, 68.49, 86.83, 68.02, 78.99, 48.1, 100.02, 143.14, 187.45, 48.76, 37.63, 138.95, 66.05, 23.54, 168.59, 210.55, 0.0
132.12, 205.49, 288.99, 114.92, 129.17, 308.01, 92.7, 160.74, 135.69, 109.94, 109.76, 99.53, 118.01, 162.91, 171.44, 175.41, 150.98, 175.82, 125.12, 103.04, 164.51, 145.36, 131.02, 202.48, 104.13, 85.67, 85.51, 116.04, 120.8, 65.38, 52.77, 56.56, 102.57, 140.23, 77.6, 38.74, 73.86, 62.05, 36.86, 99.73, 164.28, 126.44, 117.39, 79.24, 18.02, 41.53, 146.16, 126.74, 0.0
180.23, 194.02, 230.77, 70.2, 304.37, 251.83, 164.47, 240.25, 142.12, 112.96, 92.13, 121.35, 251.19, 141.22, 165.48, 170.53, 188.88, 168.65, 142.47, 105.96, 165.42, 155.39, 148.63, 214.54, 123.12, 63.8, 143.94, 134.43, 76.97, 55.97, 107.56, 50.2, 121.11, 143.97, 134.29, 117.03, 80.08, 27.25, 20.71, 75.29, 236.93, 81.75, 71.94, 45.72, 59.48, 41.13, 91.05, 115.81, 0.0
125.32, 212.62, 276.58, 105.95, 289.06, 258.47, 81.48, 83.15, 91.45, 122.68, 70.73, 59.68, 159.54, 152.61, 169.29, 181.59, 135.04, 188.97, 114.4, 91.07, 147.99, 127.03, 155.93, 185.54, 89.66, 89.42, 88.75, 55.15, 36.08, 34.11, 67.31, 42.56, 82.05, 64.31, 43.14, 51.11, 85.36, 78.13, 74.46, 57.55, 198.96, 61.01, 94.26, 22.08, 17.47, 96.82, 128.03, 120.45, 0.0
127.66, 210.13, 149.89, 136.34, 164.2, 219.45, 123.8, 166.33, 91.16, 98.09, 104.7, 105.22, 146.51, 131.19, 127.02, 202.89, 125.54, 119.06, 108.28, 101.76, 153.71, 125.31, 194.76, 183.42, 154.29, 172.46, 138.8, 148.84, 181.01, 159.71, 158.11, 154.21, 187.1, 162.16, 157.99, 169.02, 150.6, 105.58, 156.04, 183.68, 200.49, 193.07, 207.76, 188.96, 172.47, 172.59, 204.41, 179.93, 0.0
82.04, 155.54, 179.05, 110.66, 181.1, 171.48, 88.12, 121.57, 73.91, 70.02, 54.31, 67.1, 124.6, 101.9, 114.73, 143.08, 107.61, 97.32, 66.28, 67.17, 110.53, 91.1, 123.82, 141.3, 122.93, 115.85, 87.83, 88.72, 111.97, 69.04, 100.47, 8.28, 72.05, 62.27, 34.48, 78.66, 96.97, 71.45, 96.75, 79.38, 137.74, 162.32, 209.93, 144.63, 233.21, 104.34, 107.9, 116.25, 0.0
140.86, 300.82, 120.69, 82.93, 261.23, 199.17, 158.86, 97.87, 127.18, 148.97, 77.37, 76.23, 156.56, 117.02, 167.53, 220.84, 178.45, 172.51, 156.67, 85.72, 124.55, 145.61, 143.29, 181.48, 119.17, 134.67, 83.61, 116.51, 143.06, 105.21, 157.32, 25.9, 69.28, 99.03, 53.63, 107.21, 162.11, 68.44, 106.51, 102.1, 153.32, 124.42, 296.86, 207.56, 249.59, 137.97, 193.42, 189.74, 0.0
97.5, 179.57, 264.82, 157.14, 243.07, 250.71, 111.0, 159.5, 136.13, 113.6, 75.25, 50.64, 219.32, 157.99, 178.58, 230.17, 192.18, 181.51, 129.08, 95.09, 152.02, 162.8, 159.59, 222.04, 213.91, 169.07, 79.3, 115.98, 58.14, 31.94, 57.23, 43.83, 156.89, 111.34, 30.88, 21.88, 125.98, 110.63, 79.27, 97.57, 81.0, 136.36, 163.03, 147.68, 287.41, 182.87, 94.68, 137.91, 0.0
157.4, 154.15, 222.02, 50.08, 182.6, 289.51, 92.21, 177.47, 120.06, 127.88, 101.99, 40.77, 183.61, 158.86, 176.94, 235.22, 201.02, 200.24, 154.67, 112.02, 175.68, 151.16, 218.62, 250.33, 257.3, 186.1, 86.86, 88.68, 116.51, 34.34, 37.32, 27.56, 160.44, 41.22, 63.36, 60.41, 63.57, 140.75, 83.08, 57.33, 53.0, 23.92, 158.11, 132.86, 193.75, 77.18, 134.91, 178.6, 0.0
