0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, weight
291.08, 293.07, 333.28, 423.8, 358.49, 287.18, 162.0, 58.12, 114.74, 187.77, 248.51, 269.3, 135.93, 102.63, 26.68, 67.93, 116.61, 38.23, 37.39, 49.14, 7.39, 5.47, 26.42, 35.97, 64.21, 64.54, 31.23, 95.87, 56.15, 37.91, 69.63, 104.7, 91.97, 103.96, 114.52, 102.69, 110.85, 112.44, 87.81, 127.49, 87.04, 103.59, 140.89, 212.49, 165.44, 153.64, 147.68, 83.87, 0.11257580359208177
293.28, 241.19, 260.31, 254.95, 198.96, 291.0, 220.74, 41.48, 73.05, 189.23, 183.68, 174.97, 78.22, 66.76, 7.89, 64.87, 85.53, 19.89, 56.15, 40.23, 5.74, 21.62, 25.97, 35.06, 48.99, 46.93, 50.24, 83.46, 44.6, 18.58, 39.99, 51.18, 74.02, 105.2, 108.33, 71.93, 86.03, 108.71, 64.46, 70.2, 82.0, 104.75, 107.1, 143.3, 73.57, 126.56, 120.27, 62.4, 0.21884530453391146
240.56, 269.49, 189.43, 320.36, 296.21, 231.55, 191.27, 108.35, 49.72, 204.1, 206.83, 211.72, 113.95, 85.84, 44.78, 83.58, 84.6, 29.98, 47.96, 33.84, 20.21, 20.83, 41.65, 81.45, 97.24, 98.57, 65.7, 65.3, 65.39, 62.3, 124.79, 202.44, 121.03, 139.14, 84.63, 64.1, 63.91, 90.7, 113.9, 183.93, 119.14, 89.65, 67.69, 78.95, 79.97, 108.62, 95.63, 89.77, 0.09250642283446327
115.27, 21.12, 334.58, 357.88, 280.07, 257.77, 212.33, 74.73, 64.23, 43.54, 232.57, 90.67, 63.7, 28.46, 30.83, 71.53, 58.93, 29.15, 17.32, 13.44, 15.88, 18.36, 36.05, 89.51, 92.52, 100.4, 103.8, 59.07, 30.52, 81.61, 58.96, 94.79, 149.66, 89.24, 88.46, 60.44, 70.9, 105.89, 93.92, 74.31, 166.83, 180.09, 110.77, 57.02, 94.78, 123.47, 127.65, 132.78, 0.24043710248597852
135.26, 147.8, 68.96, 315.4, 274.47, 206.02, 146.27, 141.58, 94.55, 68.54, 170.4, 123.54, 106.11, 40.75, 37.01, 102.34, 60.33, 36.73, 24.72, 8.09, 8.05, 11.9, 42.59, 77.51, 127.82, 109.26, 87.0, 55.8, 67.81, 119.73, 172.69, 228.5, 131.52, 143.09, 127.91, 81.68, 81.59, 95.95, 138.86, 214.07, 134.75, 122.12, 102.37, 58.1, 117.09, 72.7, 65.71, 130.83, 0.06682187099887274
391.48, 297.51, 310.12, 414.07, 316.49, 271.29, 239.36, 212.12, 158.84, 241.79, 280.21, 241.56, 67.06, 40.68, 86.99, 156.95, 78.42, 36.28, 60.32, 2.83, 10.05, 22.3, 75.79, 139.61, 245.57, 179.92, 136.86, 79.58, 79.49, 128.69, 192.01, 273.39, 262.21, 185.83, 106.72, 98.21, 77.39, 84.71, 160.96, 249.57, 193.89, 155.55, 125.93, 49.22, 109.08, 125.1, 116.96, 174.15, 0.03189118378289136
208.11, 282.84, 276.56, 310.32, 281.58, 177.6, 186.59, 127.27, 77.24, 198.49, 216.67, 135.29, 66.67, 148.82, 60.42, 78.55, 60.02, 40.55, 49.42, 10.57, 23.62, 19.47, 46.62, 65.89, 97.95, 106.62, 90.76, 42.8, 62.33, 103.4, 100.06, 118.69, 112.53, 106.63, 79.64, 58.84, 77.78, 110.06, 77.65, 121.69, 154.06, 85.24, 110.53, 62.25, 110.04, 87.14, 131.23, 129.71, 0.30535705215899306
165.02, 312.44, 312.16, 378.94, 313.76, 273.43, 231.82, 320.54, 146.28, 114.62, 223.4, 260.75, 127.0, 81.28, 135.74, 184.69, 110.36, 77.39, 67.65, 19.31, 35.02, 53.54, 101.19, 200.65, 208.47, 263.64, 213.65, 129.06, 102.46, 186.67, 279.05, 387.89, 303.1, 236.14, 186.74, 120.79, 113.41, 108.67, 241.52, 369.81, 272.46, 234.33, 131.27, 98.48, 105.45, 129.42, 229.31, 360.12, 0.15932167816226867
418.89, 209.44, 212.58, 337.47, 273.65, 245.3, 230.74, 308.58, 173.84, 167.64, 271.52, 163.62, 121.34, 101.0, 198.39, 281.55, 173.25, 87.02, 85.53, 17.44, 48.05, 68.08, 147.6, 260.01, 276.97, 201.39, 227.95, 157.89, 179.47, 216.76, 304.9, 415.61, 324.87, 191.72, 125.29, 145.82, 116.63, 177.1, 230.48, 378.11, 220.88, 338.74, 219.58, 179.23, 146.18, 186.14, 203.66, 230.9, 0.601486439316538
238.51, 77.35, 294.96, 203.47, 97.87, 222.1, 325.91, 459.05, 94.48, 138.67, 171.18, 215.38, 169.15, 209.16, 349.08, 333.65, 136.59, 91.25, 89.05, 108.08, 184.24, 237.16, 355.0, 378.3, 171.33, 221.59, 163.36, 140.39, 252.52, 350.13, 444.48, 527.7, 269.03, 306.1, 162.03, 140.26, 166.91, 261.15, 363.83, 500.92, 264.93, 190.02, 222.07, 131.96, 139.97, 324.23, 350.74, 403.93, 1.0242823722144399
216.01, 262.93, 215.93, 288.0, 270.11, 210.34, 238.26, 404.35, 153.75, 196.73, 172.25, 219.24, 120.47, 116.65, 233.1, 298.26, 168.88, 118.71, 91.2, 22.71, 65.71, 120.92, 162.54, 254.73, 340.25, 283.76, 224.63, 181.54, 161.34, 264.21, 367.88, 490.05, 378.85, 297.9, 217.73, 161.67, 135.28, 245.98, 348.13, 498.25, 247.54, 258.19, 249.22, 202.38, 228.77, 244.78, 297.29, 407.63, 0.9235037977318551
234.41, 217.08, 210.22, 231.09, 186.13, 181.71, 202.23, 278.12, 196.84, 202.01, 202.09, 205.43, 114.3, 120.14, 179.44, 239.99, 191.36, 167.8, 166.67, 101.7, 86.11, 109.67, 142.81, 164.31, 265.04, 219.66, 227.58, 178.3, 166.42, 174.35, 263.17, 363.02, 320.24, 294.47, 217.93, 139.98, 147.97, 189.7, 269.88, 367.88, 261.79, 259.36, 207.79, 186.76, 176.64, 255.99, 294.56, 329.5, 1.3528323300437828
166.05, 138.69, 127.08, 196.61, 161.66, 134.28, 223.86, 386.09, 179.58, 127.34, 114.11, 114.08, 82.0, 77.13, 209.0, 262.98, 198.49, 141.4, 113.21, 50.5, 18.15, 66.71, 165.19, 243.94, 316.31, 278.16, 227.46, 171.91, 147.61, 240.66, 358.23, 483.06, 374.3, 316.2, 241.67, 144.79, 124.38, 218.09, 329.09, 483.02, 263.94, 258.59, 225.14, 188.73, 150.41, 211.29, 247.81, 399.04, 1.4439931649786395
187.9, 130.37, 110.61, 199.15, 149.76, 153.84, 230.33, 407.72, 148.53, 77.95, 110.21, 150.33, 90.95, 103.06, 227.46, 260.81, 139.93, 103.58, 109.76, 26.89, 51.83, 130.18, 197.07, 233.92, 316.37, 257.4, 202.1, 144.73, 157.94, 263.95, 376.89, 497.04, 374.24, 293.55, 228.67, 162.52, 129.62, 222.84, 343.48, 516.62, 294.39, 307.45, 249.92, 192.08, 167.19, 243.27, 305.47, 378.31, 1.6467293245631225
166.61, 186.53, 159.98, 174.23, 171.41, 112.2, 200.22, 379.82, 219.26, 156.13, 105.5, 142.54, 104.33, 98.08, 187.06, 251.48, 225.26, 225.17, 207.49, 113.26, 73.28, 68.12, 130.77, 200.05, 331.34, 294.53, 239.17, 153.11, 113.24, 207.03, 328.67, 460.02, 406.83, 320.04, 235.44, 135.89, 122.13, 233.7, 314.31, 464.57, 285.84, 264.0, 295.47, 169.72, 165.91, 223.57, 235.37, 355.81, 2.006022109874599
