0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, weight
128.52, 184.6, 196.04, 141.25, 123.41, 136.84, 168.92, 149.13, 124.51, 159.0, 193.56, 155.69, 125.64, 113.98, 60.99, 72.51, 69.55, 47.91, 75.38, 95.94, 94.81, 59.5, 53.35, 82.47, 142.69, 126.2, 131.97, 135.07, 136.67, 142.12, 188.04, 137.91, 137.89, 162.33, 121.49, 110.27, 108.85, 110.18, 103.75, 113.5, 185.47, 195.75, 194.08, 171.83, 164.44, 157.34, 162.94, 198.83, 0.0
110.2, 177.71, 179.49, 163.91, 215.24, 191.92, 191.48, 181.76, 156.08, 164.49, 199.96, 193.71, 195.05, 121.7, 62.57, 86.23, 47.41, 42.29, 50.68, 81.95, 78.67, 62.44, 42.15, 61.36, 116.99, 103.34, 80.11, 139.92, 126.05, 143.96, 114.1, 127.77, 99.25, 119.28, 87.18, 130.92, 128.82, 80.0, 57.41, 89.07, 138.52, 131.44, 141.06, 165.24, 140.93, 151.53, 146.99, 164.81, 0.0
101.16, 215.26, 219.35, 157.2, 143.58, 194.61, 207.38, 169.59, 111.22, 156.46, 184.84, 156.87, 157.55, 86.78, 51.97, 66.99, 49.64, 35.35, 42.24, 76.25, 90.55, 43.84, 34.64, 58.72, 98.59, 80.49, 59.6, 100.75, 76.66, 116.43, 69.11, 111.4, 95.38, 83.81, 76.15, 119.13, 78.97, 64.63, 56.03, 80.82, 132.13, 147.6, 162.8, 144.47, 118.34, 128.54, 137.68, 109.36, 0.0
121.01, 172.05, 131.79, 145.88, 177.87, 224.95, 178.32, 185.54, 46.14, 71.34, 89.29, 117.46, 127.07, 45.97, 44.5, 52.21, 34.39, 28.76, 48.25, 50.93, 62.75, 50.9, 32.24, 32.15, 108.8, 70.37, 78.6, 126.57, 85.66, 91.53, 94.18, 117.46, 92.49, 81.88, 80.42, 103.43, 63.34, 65.85, 71.42, 75.38, 145.26, 119.08, 152.9, 142.37, 120.18, 132.27, 124.93, 104.45, 0.0
111.22, 149.99, 174.82, 151.54, 144.93, 201.0, 220.0, 100.97, 130.25, 122.03, 125.5, 102.79, 113.44, 129.05, 28.72, 33.17, 32.93, 30.92, 40.1, 67.65, 55.46, 39.85, 33.12, 52.48, 88.89, 58.02, 48.53, 75.2, 40.56, 44.03, 57.4, 82.77, 81.61, 71.52, 60.63, 67.31, 38.95, 68.82, 48.44, 68.23, 75.24, 134.02, 105.73, 66.56, 87.55, 88.25, 105.38, 111.08, 0.0
114.28, 156.23, 211.86, 101.89, 187.38, 217.71, 148.81, 159.51, 97.15, 148.09, 158.69, 112.21, 166.17, 45.33, 37.93, 60.62, 37.35, 21.24, 55.36, 46.56, 34.6, 35.0, 25.32, 38.44, 49.74, 46.01, 45.59, 115.42, 84.01, 65.38, 44.55, 115.2, 67.47, 59.81, 67.65, 58.02, 72.79, 63.44, 57.61, 77.2, 47.75, 82.67, 106.81, 97.63, 110.5, 77.84, 111.26, 126.24, 0.0
101.05, 138.75, 80.73, 112.95, 128.11, 136.97, 150.27, 179.56, 80.74, 89.64, 92.12, 45.0, 75.2, 10.69, 29.86, 9.04, 27.55, 28.58, 32.0, 61.38, 44.22, 30.09, 27.27, 39.56, 72.21, 65.53, 57.12, 123.21, 29.36, 49.34, 52.96, 78.28, 72.95, 60.08, 49.51, 78.99, 65.02, 44.6, 77.96, 82.55, 107.58, 87.04, 84.82, 98.06, 123.03, 106.01, 104.62, 67.28, 0.0
439.84, 278.16, 210.86, 135.97, 270.07, 318.48, 226.15, 123.68, 296.15, 183.4, 181.0, 167.81, 160.34, 287.61, 312.85, 162.26, 276.83, 212.19, 232.85, 176.67, 187.43, 191.32, 262.55, 286.71, 319.53, 279.24, 319.45, 309.93, 247.48, 263.48, 380.27, 308.44, 402.06, 219.26, 318.35, 331.57, 241.31, 249.65, 279.19, 429.91, 393.17, 358.98, 356.05, 312.15, 391.1, 311.39, 296.37, 275.31, 0.0
68.74, 57.4, 60.8, 166.52, 101.58, 149.9, 290.52, 189.39, 37.17, 38.09, 37.93, 161.53, 278.12, 86.25, 143.18, 197.51, 41.87, 38.92, 56.46, 91.64, 99.04, 44.43, 62.57, 24.26, 83.72, 99.29, 87.48, 95.04, 89.99, 79.49, 141.66, 128.32, 75.98, 84.45, 67.63, 94.12, 105.72, 67.44, 124.27, 145.24, 85.54, 109.51, 82.75, 151.28, 187.07, 91.23, 202.74, 129.74, 0.0
71.24, 51.15, 80.57, 227.69, 246.1, 255.92, 327.95, 235.19, 34.1, 29.29, 40.77, 180.01, 262.13, 94.41, 163.52, 185.13, 31.22, 34.51, 53.11, 71.84, 91.89, 64.99, 42.43, 32.71, 80.26, 88.38, 77.67, 91.37, 90.34, 68.67, 127.65, 125.02, 68.67, 83.25, 67.26, 97.94, 82.05, 45.13, 127.05, 125.5, 99.28, 166.82, 104.54, 105.99, 229.35, 133.37, 218.32, 145.46, 0.0
